id,performance_id,user_location_1,user_location_2,user_location_3,user_location_4,user_location_5,user_location_6,user_location_7,user_location_8,user_location_9,user_location_10,user_location_11,user_location_12,user_location_13,user_location_14,user_location_15,user_location_16,user_location_17,user_location_18,user_location_19,user_location_20
25,25,uk,us,india,australia,france,nigeria,pakistan,germany,canada,ghana,belgium,turkey,tanzania,poland,portugal,egypt,indonesia,italy,ukraine,russia
26,26,uk,us,india,france,canada,australia,nigeria,pakistan,germany,south africa,morocco,belgium,indonesia,ghana,poland,mexico,ukraine,portugal,spain,tanzania
27,27,uk,india,us,france,germany,pakistan,nigeria,canada,australia,turkey,indonesia,egypt,spain,ghana,poland,brazil,russia,morocco,ukraine,tanzania
28,28,uk,us,india,france,germany,australia,pakistan,nigeria,canada,portugal,ghana,brazil,egypt,ukraine,indonesia,tanzania,turkey,mexico,morocco,south africa
29,29,uk,india,us,australia,nigeria,germany,france,canada,pakistan,mexico,poland,portugal,turkey,russia,morocco,brazil,belgium,indonesia,ukraine,egypt
30,30,uk,us,india,nigeria,australia,canada,pakistan,france,germany,italy,ukraine,turkey,egypt,poland,indonesia,mexico,portugal,russia,south africa,brazil
31,31,uk,us,india,nigeria,germany,france,canada,australia,pakistan,spain,brazil,morocco,indonesia,russia,portugal,ukraine,italy,turkey,egypt,south africa
32,32,uk,india,us,nigeria,germany,australia,pakistan,france,canada,egypt,spain,ghana,portugal,italy,russia,poland,indonesia,tanzania,morocco,mexico
33,33,india,us,uk,france,germany,australia,nigeria,pakistan,canada,brazil,south africa,tanzania,mexico,belgium,poland,morocco,portugal,indonesia,ghana,spain
34,34,uk,us,india,australia,germany,pakistan,nigeria,france,canada,russia,portugal,morocco,ukraine,mexico,indonesia,egypt,belgium,ghana,tanzania,spain
35,35,india,uk,us,france,nigeria,canada,germany,pakistan,australia,ghana,italy,spain,poland,portugal,russia,morocco,belgium,south africa,ukraine,indonesia
36,36,india,us,uk,canada,nigeria,australia,pakistan,france,germany,turkey,south africa,italy,mexico,russia,ghana,ukraine,morocco,tanzania,belgium,poland
37,37,uk,india,us,germany,france,australia,canada,pakistan,nigeria,turkey,ghana,portugal,brazil,tanzania,russia,morocco,ukraine,belgium,italy,indonesia
38,38,india,uk,us,australia,germany,france,canada,nigeria,pakistan,morocco,indonesia,egypt,tanzania,russia,italy,brazil,belgium,ukraine,turkey,spain
39,39,uk,us,india,france,pakistan,nigeria,australia,germany,canada,poland,indonesia,tanzania,italy,belgium,russia,egypt,south africa,morocco,spain,portugal
40,40,uk,us,india,australia,pakistan,germany,canada,nigeria,france,indonesia,ghana,egypt,south africa,russia,italy,morocco,turkey,belgium,spain,ukraine
41,41,uk,us,india,france,australia,germany,pakistan,nigeria,canada,belgium,spain,brazil,mexico,portugal,morocco,italy,indonesia,ghana,south africa,egypt
42,42,us,india,uk,canada,pakistan,germany,nigeria,france,australia,tanzania,egypt,poland,brazil,belgium,ghana,spain,italy,portugal,south africa,ukraine
43,43,uk,us,india,australia,canada,nigeria,pakistan,france,germany,ukraine,belgium,portugal,poland,brazil,egypt,mexico,ghana,spain,south africa,morocco
44,44,uk,us,india,canada,france,pakistan,germany,australia,nigeria,ghana,ukraine,russia,egypt,morocco,spain,turkey,indonesia,mexico,portugal,brazil
45,45,india,us,uk,pakistan,germany,australia,canada,nigeria,france,brazil,ghana,egypt,belgium,morocco,poland,russia,mexico,turkey,spain,italy
46,46,uk,us,india,nigeria,canada,germany,france,australia,pakistan,portugal,mexico,tanzania,south africa,belgium,spain,russia,brazil,poland,italy,morocco
47,47,uk,us,india,germany,canada,pakistan,australia,nigeria,france,brazil,mexico,indonesia,egypt,italy,belgium,russia,south africa,spain,turkey,ukraine
48,48,uk,us,india,france,australia,germany,canada,pakistan,nigeria,russia,spain,ghana,south africa,belgium,portugal,poland,turkey,italy,ukraine,indonesia
49,49,uk,india,us,germany,australia,nigeria,canada,france,pakistan,italy,mexico,egypt,tanzania,indonesia,russia,belgium,brazil,ghana,spain,turkey
50,50,uk,us,india,nigeria,canada,france,pakistan,germany,australia,ukraine,ghana,tanzania,spain,indonesia,portugal,morocco,turkey,poland,mexico,italy
51,51,uk,us,india,france,pakistan,nigeria,germany,australia,canada,belgium,portugal,indonesia,turkey,mexico,morocco,ghana,tanzania,spain,brazil,poland
52,52,uk,us,india,canada,australia,pakistan,germany,nigeria,france,spain,south africa,egypt,portugal,tanzania,turkey,ghana,mexico,indonesia,italy,poland
53,53,uk,us,india,germany,australia,pakistan,canada,nigeria,france,indonesia,ghana,belgium,portugal,italy,mexico,ukraine,spain,south africa,brazil,tanzania
54,54,uk,us,india,germany,pakistan,australia,nigeria,france,canada,egypt,south africa,brazil,italy,ghana,morocco,indonesia,ukraine,tanzania,belgium,turkey
55,55,uk,india,us,germany,pakistan,france,australia,nigeria,canada,portugal,italy,russia,belgium,ukraine,brazil,indonesia,spain,turkey,morocco,poland
56,56,india,us,uk,nigeria,pakistan,australia,germany,canada,france,south africa,spain,indonesia,mexico,egypt,belgium,morocco,ghana,italy,poland,tanzania
57,57,uk,us,india,france,pakistan,germany,canada,nigeria,australia,portugal,morocco,turkey,ghana,belgium,indonesia,mexico,ukraine,brazil,tanzania,south africa
58,58,uk,us,india,australia,france,pakistan,germany,nigeria,canada,ghana,tanzania,ukraine,belgium,poland,russia,morocco,spain,portugal,brazil,egypt
59,59,uk,us,india,germany,canada,pakistan,nigeria,australia,france,italy,indonesia,poland,spain,ghana,south africa,portugal,russia,tanzania,ukraine,egypt
60,60,uk,india,us,canada,germany,pakistan,nigeria,france,australia,ukraine,indonesia,morocco,russia,portugal,ghana,south africa,belgium,brazil,tanzania,poland
61,61,uk,us,india,nigeria,pakistan,australia,germany,france,canada,south africa,egypt,morocco,ghana,indonesia,italy,mexico,russia,belgium,spain,ukraine
62,62,uk,india,us,australia,france,canada,nigeria,germany,pakistan,mexico,morocco,italy,belgium,south africa,ukraine,egypt,ghana,turkey,spain,indonesia
63,63,uk,us,india,germany,canada,australia,nigeria,france,pakistan,ghana,russia,portugal,spain,south africa,mexico,poland,belgium,ukraine,morocco,indonesia
64,64,us,uk,india,nigeria,pakistan,australia,france,germany,canada,morocco,ukraine,mexico,tanzania,south africa,brazil,indonesia,belgium,italy,ghana,turkey
65,65,uk,us,india,germany,australia,canada,france,nigeria,pakistan,portugal,morocco,russia,indonesia,mexico,turkey,poland,south africa,tanzania,italy,ghana
66,66,us,uk,india,france,canada,pakistan,germany,nigeria,australia,italy,turkey,egypt,mexico,ghana,poland,ukraine,tanzania,belgium,portugal,south africa
67,67,uk,us,india,australia,nigeria,france,germany,pakistan,canada,ukraine,tanzania,italy,south africa,egypt,morocco,mexico,turkey,portugal,ghana,poland
68,68,uk,us,india,canada,germany,australia,pakistan,france,nigeria,indonesia,spain,portugal,turkey,egypt,poland,ghana,russia,italy,brazil,belgium
69,69,india,uk,us,france,germany,australia,pakistan,nigeria,canada,spain,belgium,egypt,portugal,brazil,italy,ukraine,indonesia,turkey,ghana,russia
70,70,uk,india,us,france,germany,australia,pakistan,nigeria,canada,russia,brazil,poland,mexico,belgium,tanzania,egypt,indonesia,italy,ghana,ukraine
71,71,uk,us,india,canada,germany,pakistan,france,nigeria,australia,morocco,ghana,italy,mexico,indonesia,poland,brazil,tanzania,portugal,egypt,south africa
72,72,india,us,uk,canada,germany,australia,nigeria,pakistan,france,turkey,indonesia,ghana,mexico,belgium,poland,tanzania,brazil,russia,portugal,spain
73,73,uk,india,us,australia,germany,pakistan,canada,france,nigeria,south africa,italy,indonesia,spain,ghana,belgium,tanzania,russia,brazil,turkey,poland
74,74,uk,us,india,canada,germany,nigeria,pakistan,australia,france,portugal,tanzania,mexico,spain,ukraine,belgium,turkey,ghana,brazil,poland,russia
75,75,uk,us,india,australia,germany,nigeria,pakistan,france,canada,indonesia,mexico,tanzania,morocco,portugal,russia,spain,brazil,egypt,poland,italy
76,76,uk,us,india,australia,pakistan,nigeria,germany,canada,france,egypt,ghana,poland,brazil,italy,belgium,ukraine,morocco,russia,south africa,portugal
77,77,us,uk,india,australia,nigeria,germany,pakistan,france,canada,mexico,spain,poland,ukraine,tanzania,ghana,indonesia,italy,egypt,south africa,morocco
78,78,uk,india,us,canada,pakistan,nigeria,france,germany,australia,portugal,turkey,poland,south africa,ghana,belgium,italy,egypt,brazil,tanzania,indonesia
79,79,uk,us,india,australia,canada,nigeria,germany,france,pakistan,ghana,ukraine,poland,mexico,belgium,brazil,russia,egypt,portugal,morocco,italy
80,80,uk,us,india,australia,france,germany,canada,pakistan,nigeria,italy,morocco,turkey,portugal,belgium,russia,spain,mexico,ukraine,egypt,south africa
81,81,uk,india,us,nigeria,canada,australia,pakistan,germany,france,ukraine,south africa,italy,poland,morocco,tanzania,egypt,russia,ghana,indonesia,brazil
82,82,uk,us,india,pakistan,australia,france,nigeria,canada,germany,mexico,tanzania,spain,italy,turkey,brazil,indonesia,south africa,ghana,egypt,morocco
83,83,uk,india,us,germany,pakistan,canada,australia,nigeria,france,turkey,poland,egypt,belgium,portugal,morocco,mexico,brazil,indonesia,spain,ukraine
84,84,uk,india,us,france,germany,nigeria,pakistan,australia,canada,ghana,italy,mexico,russia,turkey,spain,portugal,indonesia,ukraine,egypt,morocco
85,85,india,uk,us,germany,canada,pakistan,australia,nigeria,france,egypt,ghana,russia,ukraine,portugal,morocco,south africa,mexico,turkey,poland,italy
86,86,uk,us,india,pakistan,australia,france,nigeria,germany,canada,russia,egypt,brazil,portugal,morocco,italy,indonesia,poland,ghana,ukraine,spain
87,87,uk,us,india,pakistan,france,germany,nigeria,australia,canada,ghana,mexico,morocco,russia,brazil,italy,belgium,ukraine,tanzania,egypt,portugal
88,88,india,uk,us,canada,germany,australia,france,pakistan,nigeria,mexico,brazil,portugal,spain,indonesia,south africa,ukraine,egypt,italy,turkey,belgium
89,89,india,uk,us,pakistan,canada,germany,australia,france,nigeria,belgium,turkey,spain,south africa,mexico,brazil,portugal,tanzania,egypt,poland,morocco
90,90,uk,india,us,france,australia,canada,germany,nigeria,pakistan,brazil,indonesia,south africa,italy,turkey,russia,poland,ukraine,belgium,mexico,morocco
91,91,uk,india,us,canada,germany,pakistan,nigeria,france,australia,spain,italy,brazil,turkey,mexico,portugal,indonesia,tanzania,russia,ukraine,morocco
92,92,uk,india,us,pakistan,australia,france,germany,nigeria,canada,ghana,poland,indonesia,ukraine,south africa,italy,russia,belgium,brazil,egypt,spain
93,93,uk,us,india,australia,france,germany,nigeria,pakistan,canada,mexico,turkey,indonesia,belgium,brazil,egypt,portugal,russia,south africa,ukraine,italy
94,94,uk,us,india,nigeria,pakistan,france,canada,australia,germany,russia,mexico,ukraine,brazil,ghana,egypt,turkey,spain,indonesia,morocco,tanzania
95,95,uk,us,india,nigeria,canada,pakistan,australia,germany,france,south africa,egypt,morocco,tanzania,belgium,russia,mexico,turkey,brazil,italy,portugal
96,96,uk,us,india,nigeria,pakistan,france,germany,australia,canada,turkey,ghana,poland,indonesia,egypt,ukraine,russia,mexico,portugal,brazil,spain
97,97,uk,india,us,germany,pakistan,australia,nigeria,france,canada,russia,brazil,belgium,mexico,egypt,ghana,italy,tanzania,spain,south africa,poland
98,98,us,uk,india,pakistan,australia,nigeria,canada,germany,france,south africa,brazil,egypt,italy,portugal,poland,morocco,turkey,russia,ukraine,ghana
99,99,uk,us,india,australia,pakistan,france,germany,nigeria,canada,ukraine,egypt,spain,belgium,south africa,italy,mexico,tanzania,brazil,portugal,turkey
100,100,uk,india,us,nigeria,germany,canada,australia,france,pakistan,tanzania,mexico,brazil,morocco,belgium,ghana,russia,poland,spain,egypt,south africa
101,101,uk,india,us,pakistan,australia,france,canada,germany,nigeria,belgium,russia,portugal,ukraine,indonesia,ghana,brazil,italy,morocco,south africa,turkey
102,102,uk,us,india,france,nigeria,canada,australia,germany,pakistan,russia,tanzania,portugal,poland,ukraine,italy,brazil,egypt,morocco,south africa,indonesia
103,103,uk,us,india,pakistan,australia,nigeria,germany,france,canada,morocco,ukraine,belgium,brazil,portugal,italy,south africa,egypt,tanzania,mexico,indonesia
104,104,uk,us,india,canada,france,nigeria,pakistan,australia,germany,spain,indonesia,morocco,belgium,ukraine,poland,mexico,south africa,brazil,egypt,russia
105,105,us,uk,india,nigeria,germany,france,australia,canada,pakistan,russia,turkey,mexico,italy,portugal,ukraine,indonesia,spain,south africa,ghana,tanzania
106,106,uk,india,us,france,canada,australia,germany,nigeria,pakistan,ukraine,south africa,egypt,poland,spain,ghana,turkey,belgium,brazil,russia,morocco
107,107,india,uk,us,germany,pakistan,nigeria,france,canada,australia,poland,italy,morocco,turkey,mexico,ghana,south africa,spain,ukraine,belgium,indonesia
108,108,uk,us,india,france,pakistan,nigeria,canada,germany,australia,egypt,spain,belgium,south africa,turkey,russia,portugal,tanzania,ukraine,poland,morocco
109,109,uk,us,india,canada,france,nigeria,australia,pakistan,germany,portugal,tanzania,morocco,egypt,spain,brazil,south africa,poland,ghana,belgium,indonesia
110,110,india,uk,us,france,nigeria,germany,pakistan,canada,australia,brazil,belgium,tanzania,turkey,russia,ukraine,mexico,morocco,south africa,egypt,portugal
111,111,india,us,uk,canada,germany,france,australia,pakistan,nigeria,poland,turkey,ukraine,mexico,spain,egypt,ghana,indonesia,tanzania,brazil,italy
112,112,uk,us,india,pakistan,canada,germany,france,nigeria,australia,italy,spain,indonesia,ghana,brazil,russia,belgium,egypt,morocco,tanzania,mexico
113,113,uk,us,india,australia,nigeria,germany,canada,pakistan,france,ghana,south africa,indonesia,mexico,italy,ukraine,turkey,brazil,tanzania,poland,morocco
114,114,india,us,uk,pakistan,germany,france,canada,australia,nigeria,turkey,egypt,italy,poland,belgium,ukraine,mexico,portugal,spain,south africa,brazil
115,115,uk,us,india,australia,france,canada,germany,nigeria,pakistan,poland,portugal,russia,italy,tanzania,turkey,mexico,south africa,ukraine,ghana,brazil
116,116,uk,us,india,nigeria,australia,pakistan,germany,france,canada,spain,tanzania,russia,poland,indonesia,italy,portugal,ukraine,mexico,morocco,belgium
117,117,uk,india,us,nigeria,canada,australia,france,germany,pakistan,italy,brazil,indonesia,turkey,russia,belgium,morocco,tanzania,poland,spain,ukraine
118,118,uk,india,us,germany,canada,france,pakistan,nigeria,australia,belgium,russia,spain,turkey,south africa,italy,mexico,brazil,morocco,egypt,ghana
119,119,india,us,uk,pakistan,canada,nigeria,australia,germany,france,ghana,spain,belgium,morocco,indonesia,poland,mexico,turkey,portugal,italy,russia
120,120,uk,us,india,australia,germany,nigeria,canada,pakistan,france,egypt,russia,tanzania,ghana,portugal,indonesia,belgium,brazil,turkey,ukraine,south africa
121,121,uk,us,india,canada,australia,germany,france,pakistan,nigeria,spain,egypt,italy,russia,turkey,morocco,belgium,poland,ghana,mexico,south africa
122,122,uk,us,india,germany,australia,france,pakistan,canada,nigeria,ghana,indonesia,ukraine,belgium,italy,poland,mexico,egypt,tanzania,south africa,brazil
123,123,uk,us,india,australia,nigeria,pakistan,germany,france,canada,poland,brazil,belgium,ukraine,portugal,turkey,italy,ghana,indonesia,spain,mexico
124,124,us,uk,india,pakistan,canada,nigeria,france,germany,australia,ukraine,portugal,brazil,spain,ghana,mexico,indonesia,russia,belgium,morocco,italy
125,125,us,uk,india,germany,australia,france,nigeria,pakistan,canada,morocco,belgium,turkey,ukraine,tanzania,italy,portugal,indonesia,spain,south africa,mexico
126,126,uk,us,india,germany,france,pakistan,canada,nigeria,australia,brazil,belgium,ukraine,spain,mexico,portugal,poland,indonesia,ghana,turkey,russia
127,127,uk,india,us,germany,pakistan,canada,nigeria,france,australia,south africa,indonesia,morocco,egypt,italy,ukraine,belgium,tanzania,brazil,spain,portugal
128,128,uk,india,us,pakistan,australia,canada,germany,france,nigeria,turkey,poland,south africa,portugal,brazil,ukraine,spain,ghana,mexico,morocco,russia
129,129,india,uk,us,canada,australia,germany,nigeria,pakistan,france,italy,spain,ghana,mexico,morocco,ukraine,egypt,russia,portugal,south africa,belgium
130,130,india,uk,us,nigeria,canada,france,australia,germany,pakistan,ukraine,turkey,south africa,indonesia,belgium,spain,ghana,morocco,mexico,italy,brazil
131,131,india,us,uk,france,nigeria,canada,germany,australia,pakistan,indonesia,ghana,brazil,russia,mexico,ukraine,south africa,portugal,egypt,poland,belgium
132,132,uk,india,us,germany,pakistan,canada,nigeria,australia,france,belgium,morocco,south africa,brazil,egypt,mexico,portugal,italy,turkey,indonesia,ukraine
133,133,uk,india,us,france,australia,pakistan,nigeria,germany,canada,indonesia,mexico,egypt,spain,portugal,morocco,italy,poland,belgium,brazil,turkey
134,134,uk,india,us,france,canada,germany,pakistan,nigeria,australia,poland,mexico,portugal,brazil,egypt,turkey,south africa,morocco,russia,belgium,italy
135,135,uk,us,india,germany,pakistan,france,nigeria,canada,australia,russia,brazil,spain,mexico,egypt,tanzania,belgium,indonesia,turkey,portugal,morocco
136,136,india,us,uk,france,australia,nigeria,pakistan,canada,germany,italy,brazil,poland,russia,mexico,morocco,south africa,portugal,egypt,indonesia,tanzania
137,137,uk,us,india,france,canada,australia,pakistan,germany,nigeria,spain,ukraine,indonesia,tanzania,poland,egypt,turkey,russia,south africa,italy,mexico
138,138,uk,us,india,pakistan,australia,nigeria,canada,france,germany,ukraine,indonesia,egypt,italy,turkey,mexico,belgium,poland,tanzania,portugal,morocco
139,139,india,us,uk,nigeria,germany,canada,australia,france,pakistan,turkey,egypt,mexico,indonesia,italy,belgium,spain,tanzania,morocco,ghana,poland
140,140,uk,us,india,australia,pakistan,germany,nigeria,canada,france,ukraine,egypt,indonesia,tanzania,south africa,mexico,ghana,belgium,morocco,turkey,brazil
141,141,uk,india,us,germany,nigeria,pakistan,france,canada,australia,turkey,portugal,poland,ghana,belgium,morocco,spain,egypt,italy,tanzania,south africa
142,142,uk,us,india,pakistan,nigeria,australia,france,canada,germany,belgium,russia,morocco,portugal,turkey,egypt,brazil,south africa,spain,italy,ghana
143,143,uk,us,india,germany,pakistan,nigeria,australia,france,canada,ghana,russia,egypt,italy,brazil,indonesia,mexico,ukraine,tanzania,portugal,morocco
144,144,uk,us,india,france,nigeria,pakistan,australia,canada,germany,spain,turkey,indonesia,belgium,morocco,egypt,portugal,tanzania,poland,italy,brazil
145,145,uk,us,india,australia,nigeria,canada,germany,france,pakistan,italy,poland,spain,tanzania,brazil,belgium,south africa,portugal,turkey,morocco,mexico
146,146,uk,us,india,canada,pakistan,australia,nigeria,germany,france,mexico,ghana,brazil,south africa,tanzania,morocco,portugal,indonesia,egypt,turkey,poland
147,147,uk,india,us,australia,france,canada,nigeria,pakistan,germany,brazil,morocco,ukraine,ghana,tanzania,belgium,turkey,spain,south africa,poland,italy
148,148,us,india,uk,australia,germany,canada,pakistan,france,nigeria,italy,belgium,south africa,turkey,egypt,russia,portugal,ukraine,spain,indonesia,mexico
149,149,uk,us,india,france,canada,germany,australia,pakistan,nigeria,ukraine,italy,indonesia,egypt,morocco,poland,brazil,tanzania,mexico,russia,belgium
150,150,us,uk,india,canada,pakistan,australia,nigeria,france,germany,tanzania,ukraine,indonesia,russia,italy,ghana,mexico,egypt,poland,brazil,turkey
151,151,uk,us,india,germany,france,pakistan,nigeria,canada,australia,turkey,south africa,brazil,ukraine,mexico,egypt,russia,italy,belgium,portugal,ghana
152,152,uk,us,india,pakistan,nigeria,canada,germany,australia,france,ukraine,egypt,russia,belgium,tanzania,brazil,morocco,ghana,indonesia,spain,poland
153,153,uk,us,india,nigeria,canada,pakistan,germany,france,australia,mexico,indonesia,morocco,ghana,spain,portugal,tanzania,belgium,poland,ukraine,brazil
154,154,india,uk,us,australia,canada,pakistan,france,germany,nigeria,morocco,poland,belgium,south africa,mexico,egypt,portugal,indonesia,italy,russia,ghana
155,155,uk,india,us,canada,nigeria,australia,pakistan,germany,france,ghana,turkey,brazil,ukraine,south africa,morocco,belgium,portugal,tanzania,indonesia,russia
156,156,india,uk,us,pakistan,germany,france,nigeria,australia,canada,indonesia,ukraine,spain,egypt,brazil,poland,south africa,italy,belgium,portugal,russia
157,157,uk,us,india,pakistan,australia,germany,nigeria,canada,france,ukraine,turkey,indonesia,tanzania,south africa,russia,egypt,morocco,brazil,ghana,italy
158,158,us,uk,india,france,germany,pakistan,australia,nigeria,canada,brazil,tanzania,belgium,poland,russia,indonesia,mexico,italy,morocco,egypt,turkey
159,159,uk,us,india,canada,germany,australia,france,nigeria,pakistan,indonesia,portugal,belgium,tanzania,brazil,italy,ukraine,ghana,turkey,poland,south africa
160,160,uk,us,india,germany,pakistan,france,canada,nigeria,australia,ghana,tanzania,italy,spain,egypt,ukraine,turkey,indonesia,morocco,poland,russia
161,161,uk,india,us,pakistan,canada,france,nigeria,australia,germany,ghana,tanzania,turkey,indonesia,brazil,spain,mexico,belgium,russia,south africa,morocco
162,162,uk,us,india,nigeria,france,germany,canada,australia,pakistan,brazil,tanzania,turkey,indonesia,south africa,italy,portugal,ghana,mexico,russia,morocco
163,163,uk,us,india,pakistan,australia,canada,germany,france,nigeria,morocco,indonesia,south africa,mexico,portugal,turkey,egypt,russia,tanzania,poland,brazil
164,164,uk,us,india,germany,canada,nigeria,france,pakistan,australia,morocco,ukraine,egypt,belgium,brazil,portugal,spain,poland,south africa,russia,turkey
165,165,uk,us,india,pakistan,nigeria,france,germany,australia,canada,russia,south africa,mexico,portugal,tanzania,ghana,morocco,turkey,italy,egypt,brazil
166,166,us,india,uk,canada,france,australia,germany,nigeria,pakistan,ghana,morocco,belgium,indonesia,tanzania,turkey,spain,egypt,russia,italy,south africa
167,167,us,uk,india,australia,nigeria,france,pakistan,canada,germany,ukraine,south africa,poland,egypt,mexico,spain,brazil,indonesia,italy,tanzania,ghana
168,168,india,us,uk,nigeria,canada,pakistan,france,germany,australia,brazil,russia,poland,ukraine,turkey,portugal,italy,ghana,spain,belgium,south africa
169,169,uk,us,india,australia,canada,pakistan,nigeria,france,germany,turkey,ghana,south africa,belgium,ukraine,italy,indonesia,mexico,egypt,spain,brazil
170,170,india,uk,us,nigeria,pakistan,australia,canada,france,germany,south africa,tanzania,mexico,ghana,brazil,russia,italy,spain,indonesia,portugal,egypt
171,171,uk,india,us,australia,germany,pakistan,canada,nigeria,france,turkey,tanzania,mexico,egypt,brazil,morocco,poland,indonesia,belgium,ghana,portugal
172,172,uk,us,india,australia,canada,pakistan,germany,nigeria,france,south africa,portugal,mexico,morocco,ukraine,brazil,belgium,tanzania,russia,italy,spain
173,173,uk,us,india,australia,france,canada,pakistan,nigeria,germany,poland,ukraine,south africa,indonesia,turkey,spain,italy,egypt,portugal,morocco,tanzania
174,174,uk,us,india,france,germany,canada,nigeria,australia,pakistan,belgium,turkey,ghana,brazil,spain,portugal,tanzania,morocco,egypt,italy,indonesia
175,175,uk,us,india,pakistan,france,canada,australia,nigeria,germany,belgium,egypt,tanzania,poland,turkey,ghana,ukraine,italy,brazil,morocco,russia
176,176,uk,us,india,australia,canada,france,germany,nigeria,pakistan,brazil,portugal,ukraine,indonesia,mexico,south africa,russia,egypt,tanzania,spain,turkey
177,177,uk,india,us,france,canada,pakistan,nigeria,germany,australia,mexico,belgium,brazil,russia,spain,morocco,portugal,ghana,italy,indonesia,tanzania
178,178,uk,india,us,pakistan,australia,nigeria,germany,france,canada,poland,mexico,italy,belgium,south africa,turkey,ghana,indonesia,portugal,egypt,spain
179,179,uk,us,india,nigeria,australia,canada,pakistan,germany,france,russia,turkey,indonesia,tanzania,south africa,spain,mexico,egypt,morocco,belgium,italy
180,180,uk,us,india,australia,pakistan,germany,france,canada,nigeria,mexico,tanzania,poland,turkey,morocco,russia,ukraine,spain,belgium,south africa,ghana
181,181,india,uk,us,australia,nigeria,france,germany,canada,pakistan,poland,ukraine,south africa,ghana,indonesia,brazil,portugal,italy,turkey,spain,mexico
182,182,india,uk,us,nigeria,australia,germany,pakistan,canada,france,morocco,ukraine,poland,south africa,indonesia,tanzania,egypt,italy,mexico,turkey,russia
