post_id,post_short_name,post_date,post_category,promoted_boolean,platform_id,platform,partner_boolean,,,,,,,,
1072,,12/04/2023,short video,n,1,tiktok,n,,,,,,,,
1074,,09/07/2023,short video,n,1,tiktok,n,,,,,,,,
1082,,17/04/2023,short video,y,1,tiktok,n,,,,,,,,
1083,,24/08/2023,short video,y,1,tiktok,y,,,,,,,,
1085,,17/01/2023,short video,n,1,tiktok,n,,,,,,,,
1086,,22/01/2023,short video,n,1,tiktok,n,,,,,,,,
1090,,18/01/2023,short video,n,1,tiktok,n,,,,,,,,
1094,,13/05/2023,short video,n,1,tiktok,n,,,,,,,,
1098,,17/02/2023,short video,y,1,tiktok,n,,,,,,,,
1100,,30/01/2023,short video,n,1,tiktok,n,,,,,,,,
1105,,26/01/2023,short video,n,1,tiktok,n,,,,,,,,
